你会不会骂人	我不可以骂人的，老师教育我一定要懂礼貌，尊重别人。  
国美在线的特色服务收取费用吗？	我们的特色服务都是免费的
什么是指定日达？	在指定日达区域，您可享有选择自下单之日起7日内的预约送达服务。
什么是次日达？	在次日达区域，当天22:00前提交的现货订单（以订单出库时间点开始计算），次日送达。
什么是半日达？	当天上午11:00前提交的现货订单（以订单出库时间点开始计算），当日送达。
门店自提	国美在线与门店打通，目前国美门店全国共计2000余家，自提点全国共计1500余家，我们还在不断扩展服务，为更多的用户更便捷的享受到国美服务。http://help.gome.com.cn/question/37.html 链接可以具体操作门店查询以及自提点查询功能哦~ 
签收与验货流程是？	具体的建议您可以看下http://help.gome.com.cn/question/5022.html哦
商品签收前，我应该做哪些检查？	具体的建议您可以看下http://help.gome.com.cn/question/5023.html哦
验货时我应该核对哪些信息？	请在配送人员在场的情况下与配送员核对商品数量、型号、外观、配件和发票；如是货到付款订单，需核对商品与款项是否一致，确保货款两清。若您在配送员离开后发现款项有误，将无法为您核实处理。
验货时发现异常如何处理？	若发现异常（如商品缺失、损坏、渗漏、无发票等），请务必让配送人员填写开箱证明，并立即联系国美在线客服人员进行反馈和登记，客服人员会根据您的实际情况做相应处理。国美在线客服热线：4008-708-708。http://help.gome.com.cn/question/5025.html
可以由他人代签收商品吗？	为了保护您的权益，建议您尽量不要委托他人签收；如由他人代为签收商品而没有在配送人员在场的情况下验货，则视为您所订购商品的包装无任何问题。
所有商品都可以开箱验货吗？	国美在线所售的自营 电视类、空调类 商品不支持配送人员直接开箱验货；验收商品不包括安装和通电试机服务。如在安装或通电试机过程中发现商品有质量问题，国美在线将会按照国家三包法规为您进行处理，详情请参见《退换货政策》http://help.gome.com.cn/article/307-0-0.html
配送人员离开后，发现包裹异常怎么办？	如您在配送人员离开后再提出包裹外包装或封带异常，以及商品的型号、数量或外观等存在异常而要求退换货，此时因无法确认责任，将无法为您做进一步处理，请您谅解。国美在线强烈建议您在签收前一定做好商品包装及商品的验收。
如果配送人员借口不配合验货和签字确认怎么办？	如配送人员以公司没有规定或着急送货为借口，不配合您进行验货和签字确认，请及时联系国美在线客服进行投诉，客服人员将会在第一时间为您处理；一旦出现此情况，为了维护您的权益，建议您先不要拆开包裹。
商品到货后，我能否签收部分商品？	同一配送单中含多件商品，商品配送时不支持部分拒收。
货到付款的商品能否验货后再付款？	货到付款的商品须完成支付和签收后，再进行拆箱验货。
退换货商品邮寄到那里？	具体的建议您可以看下 http://help.gome.com.cn/question/5495.html 介绍图示指导哦
哪些商品可以提供上门安装服务？	建议您可以具体查看下哦~http://help.gome.com.cn/question/5564.html
国美自营空调各地区安装收费标准	具体的建议您可以http://help.gome.com.cn/question/5565.html看下哦~另：厂家安装：按照厂家或指定授权服务商收费标准执行，可咨询厂家服务热线。
伊莱克斯电热水器、小厨宝安装说明	伊莱克斯电热水器和小厨宝安装不支持异地服务，同城、非同城均无法受理，只支持配送地址安装；伊莱克斯电热水器/小厨宝安装区域：http://help.gome.com.cn/question/5567.html ，具体的建议您可以查看下哦
手机维修的收费标准是什么？	具体的建议您可以查看下哦~http://help.gome.com.cn/question/5570.html
家电维修如何收费？	国美家电维修主要针对超出国家或厂家保修期的家电产品，点击商品类别查看收费标准（仅供参考）具体的建议您可以查看下哦~http://help.gome.com.cn/question/5578.html
全国范围内都可维修吗？	全国范围内，我们针对超出国家或厂家保修期的家电产品为您提供专业的维修服务。
在非国美的网站或门店购买的家电，可以申请维修么？	可以，我们支持非国美购买的家电维修。申请维修登记
家电保养流程	家电保养流程 登录国美在线账号后请点击这里填写信息；支持家电保养品类：冰箱、洗衣机、空调、烟机、热水器。具体的可以参照下 http://help.gome.com.cn/question/5582.html 图示哦
“有得卖”咨询电话是多少？	有得卖”咨询热线：4006-502-518
支付失败怎么办？	如您使用的银行卡尚未开通网上支付功能，银行卡内余额不足，超出支付限额，输入的证件号、银行卡卡号或密码不符，所持银行卡已挂失、作废、过期，信用卡超额透支，网络中断等原因均可造成支付失败。您可通过“我的订单”重新完成支付。
支付平台都有哪些？	具体的建议您可以http://help.gome.com.cn/question/5062.html查看下哦~
银联在线支付说明	银联在线支付，通过“选择银联在线支付、输入银行卡信息、验证并确认支付”等步骤即可完成。
用户如何获取电子发票？	订单完成后，用户可在“订单详情页”中的“付款信息”页面下载PDF格式电子发票。具体的建议您可以参照下http://help.gome.com.cn/question/5099.html哦
不同级别分别享受什么样的服务？	具体的建议您可以参照下 http://help.gome.com.cn/question/5763.html 图示哦~
怎么查询会员级别？	登陆后在“我的国美”—“会员俱乐部页面”即可查看。http://help.gome.com.cn/question/5758.html
什么是成长值？	成长值是国美在线会员通过注册登录、购物、评价、晒单等行为所获得的奖励分数。会员累积的成长值总额与购物天数两个因素共同决定国美在线会员的级别。成长值存在增加和减少两种变更情况。
什么是会员权益？	会员权益是根据您的国美在线会员等级不同，可享受的不同特权服务。查看我的会员权益 http://help.gome.com.cn/question/5482.html
门店会员积分查询	登录国美在线，点击页面右上角“我的国美”，页面打开后会显示“我的积分”；将鼠标光标移到“我的积分”，会显示“门店积分”
门店会员卡信息如何查询？	登录国美在线，点击页面右上角“我的国美”，然后依次点击进入“个人资料-门店会员卡”即可查看门店会员卡详细信息。http://help.gome.com.cn/question/5437.html
门店历史购物记录查询	登录国美在线，点击页面右上角进入“我的订单”，选择“门店订单”即可查看您在门店的历史消费情况。http://help.gome.com.cn/question/5438.html
如何用门店会员积分快速购物？	门店积分：购物车使用积分抵现，每单最多使用20积分（黄金、汽车、礼卡礼券类商品不支持使用）http://help.gome.com.cn/question/5439.html
门店积分如何兑换红券？	您可登录国美在线，点击页面右上角“我的国美”，然后依次点击“我的积分-门店会员积分-立即兑换”，将积分兑换成红券后进行购物。
国美在线有哪些优惠券？	国美在线目前设有红券、蓝券、购物券、店铺券四类主要优惠券，与其它类型优惠券：手机充值红券、手机游戏红券、彩票券、自营家电现金券，各类优惠券均不可抵扣运费、不能兑现。
美豆是什么？	美豆是用户在国美在线（www.gome.com）购物、评价、晒单或参与活动后获得的相应奖励。
美豆和门店积分能否同时使用？	门店积分是指在国美电器门店购物所得积分， 1积分=1元；单笔订单最多可用20积分（黄金、汽车、礼卡礼券等商品不支持使用积分）；门店积分和美豆可同时使用。http://help.gome.com.cn/question/5732.html
美豆和优惠券能否同时使用？	在会员购物时,美豆和优惠券可同时使用。
什么是预占美豆？	用户在办理退货时,国美在线将收回退货商品所得相应美豆,在退货办理过程中，未收回的美豆将以“预占美豆”的形式存在。预占美豆不可以使用。
如何释放预占美豆？	当用户取消退货流程时, 预占美豆将被释放,释放后的美豆可以正常使用。
一个订单多个配送单如何进行评价？	一个订单中包含多个配送单，需待整个配送单状态变为“等待收货”，点击“确认收货”后方可进行评价。
什么是系统默认评价？	订单妥投30天后系统代替用户自动给商家好评（因系统滞缓可能会有延后生效的情况）。
默认好评的订单还赠送美豆吗？	系统默认好评将不赠送美豆。
什么是追加评价？	追加评价是指在确认收货后的180天内，用户可以发表一次追加评价（仅追加评价，不涉及评分），商家也会随之多一次解释机会，从而更真实的反映购买后的情况。追加的评论仅是文字与晒单内容，不影响商家的好评率；
什么是国美社区？	国美在线不断总结经验完善购物流程，致力于打造一流的综合性购物网站，为更好的与您进行交流和互动，完善从购买到使用的流程体验。国美在线于2012年8月正式推出官方论坛，论坛下设各类交流平台，实现会员与会员，商城与会员之间的及时沟通交流，同时还推出了一系列的特色活动，让您在娱乐之余得到更多的实惠。
国美社区有哪些活动？	每月各类线上活动，门槛低，奖励高，红券发不停。ipadmini各种土豪奖品有可能就是你的囊中物，心动就来e站立即参与。>>查看最新活动
在国美社区晒单有什么奖励吗？	订单中单个商品可参与晒单一次（购买汽车除外），晒单给予1威望的奖励，优质晒单最高奖励为3威望（威望的作用 威望可1:100兑换国美在线美豆）>>马上去晒单  
什么是底价曝光台？	从海量商品中为广大会员们提供国美在线最准确的、新鲜的、靠谱的特价商品信息。>>查看底价商品
预约维修服务	一键发布维修所需，在线客服收到需求立即响应当地工作人员。专业、快捷、低价的家电维修服务，让您百分之一百的满意！>>预约维修
加入环保计划	解决您家中废旧电器回收问题,还能通过正规环保企业进行无害化处理，提倡低碳生活，环保点滴从我做起！>>加入环保计划
话费充值可否开具发票？	国美在线不对手机充值业务提供发票。
携号转网能网上充值么？	携号转网用户请到指定线下营业厅充值，否则充到原运营商账户无法退回。
充值时充错号码怎么办？	充错号码无法办理退款。一但支付成功，系统无法进行拦截，请输入手机号码时仔细确认。 
话费充值失败怎么办？	如出现充值失败，我们会及时为您办理退款。退款将原路返回您的付款账户中，详见退款说明。如需协助请联系客服
为何只有部分话费到账？	出现部分到账的情况，一般是因为运营商分次充值导致的，但最终到账总额与充值面值相等。
支付了就会充值成功吗？	不是的，是否充值成功需要根据运营商反馈的缴费状态来判定。如遇充值高峰或运营商系统升级等特殊情况，有可能会充值失败，支付款项将原路退回。
能否参加号码归属地运营商活动？	各地运营商的规定是不同的，在我们网站上的充值是不能保证能够参加这些活动的，请先与当地运营商咨询。
停机号码可以充流量吗？	停机状态不能充流量，请您充值前确认手机状态，或向当地运营商咨询确认。
流量充值可以开具发票吗？	国美在线不对手机充值业务提供发票。
流量充值失败怎么办？	如出现充值失败，我们会及时为您办理退款。退款将原路返回您的付款账户中，详见退款说明。如需协助请联系客服
充值流量时充错号码怎么办？	充错号码无法退款，一旦支付成功，系统自动将手机号码提交充值，无法进行拦截，请输入手机号码时仔细确认。
流量充值订单提交后能否修改或者撤销？	流量充值订单一旦提交成功，不可修改充值信息；如在订单未支付时，发现充值信息有误，可放弃支付，重新发起一笔充值订单；如果订单已经支付成功，则系统会自动流转进行充值，无法人工修改和撤销，请仔细核对您要充值的号码，以防出错。
充值流量能否参加号码归属地运营商活动？	各地运营商的规定是不同的，在我们网站上的充值是不能保证能够参加这些活动的，请先与当地运营商咨询。什么是“首充号”？	即由系统帮您创建游戏账号信息，购买成功后请于手游商城下载登录游戏并及时修改密码，购买的代金券请在游戏内使用。
什么是“代充号”？	仅为手游商城下载的游戏客户端提供服务，购买的代金券请在游戏内使用。
什么是代金券？	代金券仅为国美在线“手游商城”下载游戏客户端内充值使用，如使用非国美在线“手游商城”下载的游戏客户端充值所导致的损失，国美在线不承担任何责任。
游戏内代金券充值可以多张使用吗？代金券使用规则有哪些？	支持使用多张代金券；代金券不能低于游戏内充值金额、如大于游戏内充值金额则代金券余额可分多次使用，代金券余额不予退款。
“首充号”“代充号”是否只适用于国美在线“手游商城”下载游戏客户端？	是的，手游商城的“首充号”“代充号”仅为手游商城下载的游戏客户端提供服务，购买的代金券请在游戏内使用。
手游商城支持哪几种付款方式？	目前手游商城仅支持在线支付一种支付方式。
手游商城是否可以用国美红券，美豆购买？	目前手游商城仅支持“在线支付”，暂未开通其它支付方式。
手游商城可否开具发票？	国美在线暂不对游戏业务提供发票。
是否可以取消手游商城订单？	未付款普通订单12小时、促销订单30分钟系统会为您自动取消订单，无须您手动取消；成功支付后无法取消订单。
成功付款后，我怎么查看订单结果？	成功付款后，您可到“个人中心-我的订单-游戏订单-手游商城”查看订单结果。
我已付款成功，为什么订单状态还是“等待付款”？	由于在线支付网关信息延迟，所以订单状态还没有变更过来，您可稍后查看订单状态。
手游商城购买代金券一般需要多久到帐？	游戏代金券一般是即时到账，如因系统延时请您耐心等待。
如果手游订单交易失败，怎么办？	如果交易失败，我们会立即为您提交退款，款项会原路退回您支付时所使用的银行账户里。
手游商城订单失败，退款多久到账？	订单失败3-7个工作日内款项会原路退回您支付时所使用的银行账户里。
我已经成功付款，能否退款？	请您谅解，由于虚拟产品的特殊性，售出后国美在线无法进行退款处理。
购买的代金券有使用时间限制吗？	手游商城代金券有效期为：自订单支付成功后30日内有效，过期作废，请您务必在有效期内使用。
使用美盈宝服务需要什么条件？	拥有二代身份证的中华人民共和国大陆居民，且完成实名认证的用户。
美盈宝有哪些基金产品？	美盈宝首批引入货币基金基金产品为诺安天天宝B货币基金产品（基金代码：000625）
为什么要把钱存入美盈宝？	您存在美盈宝的资金不仅可以获得稳健的收益，还可在国美在线消费（确认份额之后），此外资金可随时提取转出，方便灵活且不收取任何手续费，真正实现花钱赚钱两不误。
什么是货币基金？	货币基金是聚集社会闲散资金，由基金管理人运作，基金托管人保管资金的一种开放式基金，专门投向风险小的货币市场工具，如国债、央行票据等，具有高安全性、高流动性、稳定收益性，具有“准储蓄”的特征。
基金公司介绍	诺安基金成立于2003年12月，目前旗下管理着32只开放式基金，截至2014年一季度末，公司管理的资产总规模超过500亿元，拥有客户数量超过500万。公司经历了多次牛熊交替的考验，始终坚持严谨、稳健的投资风格，为投资者实现了良好的投资回报。
美盈宝展示的是当天的收益吗？	在您存入资金并确认份额后，美盈宝中展示的是前一天的收益。
美盈宝中的资金用掉一部分，收益怎么算？	美盈宝的资金可以转出或理财消费使用，普通转出时，继续享有当天的收益；快速转出时，不再继续享有当天收益。
美盈宝中的收益缴税吗？	将资金转入美盈宝相当于购买货币基金产品。根据《财政部 国家税务总局关于证券投资基金税收问题的通知》，对投资者从基金分配中获得的股票的股息、红利收入以及企业债券的利息收入，由上市公司和发行债券的企业在向基金派发股息、红利、利息时代扣代缴20%的个人所得税，基金向个人投资者分配股息、红利、利息时，不再代扣代缴个人所得税。
钱放在美盈宝会亏本吗？	您转入美盈宝的资金是购买了基金公司的货币基金。货币基金投资的范围都是一些高安全系数和稳定收益的品种，属于风险较低的投资品种，从历史数据来看，收益稳定风险极小，理论上存在亏损可能，请谨慎投资。
美盈宝支持哪些转入方式？	美盈宝转入支持用储蓄卡转入付款，需要您先将银行卡与您的美盈宝账户绑定，绑定时确保持卡人姓名与美盈宝账户的持有人一致。
美盈宝有没有转入次数以及金额限制?	美盈宝支持转入次数以及金额的限制受银行卡限制，具体的限额在存入界面有提示。建议金额：根据基金行业历史经验，建议您持有100元以上，可以有较高概率获得收益（若当天收益不到1分钱，系统可能不会分配收益，且也不会累积）。
美盈宝提现支持哪些银行？有次数限制吗？	美盈宝提现时目前仅可提现至已绑定的银行卡。快速提现每人每天最多操作10次，单次大于100元，不超过5万；单日累计不超过50万。
网银开通美盈宝需要哪些条件？	建议您可以具体的看下http://help.gome.com.cn/question/5771.html图示哦~
什么是预约理财？	通过提前预约的方式，来购买您期望的理财产品。无需您时刻守在电脑旁、手机旁就能够及时抢购高收益标的，不错过每一分收益。
预约理财要满足什么条件？	首先您需要开通美盈宝（若已是美盈宝用户无需再次开通），并且保证美盈宝可用余额不低于想预约的金额。
用于预约的美盈宝余额还能获得收益吗？	可以，用于预约的美盈宝余额在预约期间仍可获得收益，只是这部分资金不能提现。当系统帮您匹配到符合您需求的标的后（即为您成功购买到理财产品），则这部分金额将不再享受收益。
预约理财可以预约什么理财产品？	目前可以预约投金宝、固收、票据。
成功预约到期望理财产品会有什么提示吗？		系统帮您匹配到符合您需求的标的后，会自动帮您自动下单，然后通过短信通知您。您也可以登录网站在“我的金融”->“我的预约单”中可以查询预约订单的情况。
预约的理财产品到期后本金和收益返回到哪里？	理财产品到期后，本金和收益会返回到美盈宝中。
是否可以取消预约订单？	支持取消预约订单，但是投资成功的金额是不可取消的。取消预约单后，取消的这部分金额会重新变为可用状态（即可以提现和购买理财）。
什么是美银票？	美银票是一款借款类的理财产品，融资企业以其持有的银行承兑汇票提供质押担保向投资人融资，然后通过国美金融平台发布借款申请需求，向投资人直接融资的借款项目。融资企业承诺在借款到期一次性还本付息给投资人。
什么是银行承兑汇票？	银行承兑汇票是由银行开具的到期兑付的书面凭证。根据我国票据法规定，银行承兑汇票由银行承兑，银行承诺到期后会无条件兑付该票据金额给予该银行承兑汇票的所有人。
怎样进入票据理财	点击首页左侧全部商品分类里面金融项下的“票据理财”
投资成功后哪里可以看到投资的金额？	在国美金融——右上角“我的金融＞我的理财＞票据理财”可以看到您投资票据理财产品的金额以及收益，同时会为您在“我的交易”生成交易详情。
美银票到期我一定能获得预期收益率吗？预期收益和实际收益会一致吗？	借款人以银行承兑汇票作抵押，银行承兑汇票到期由银行无条件承兑，可用于偿还您的本金与收益。
投资时预期收益是如何计算出来的？	预期收益计算公式为：预期收益=本金*（投资天数/360）*预期年化收益率
到期后本金跟收益会回到哪里？	票据理财到期后，您投资的本金及收益将原路返还至您的银行卡账户或您的美盈宝账户，您可选择再次投资理财产品。
本金和收益何时能收回？	理财到期日（本息兑付日）之后1~3个工作日内，节假日顺延。
美银票项目募集失败如何处理？	美银票项目在募集期满时如果投资金额没有达到融资金额，则会导致募集失败，所有投资者的投资资金会在1工作日之内原路退回。
美银票可以提前赎回吗？	不可以，到期借款人还本付息。 如借款尚未到期，您无法提前取回款项。
投资票据理财产品到期前更换了（注销了）银行卡，应如何还款？	如您投资的银行卡丢失或者不能正常使用，请及时联系国美客服
支持了项目后可以退款么？	当您选择了感兴趣的项目支付筹资后至项目成功本段时间内，不支持退款。项目失败后，国美众筹会将您支持的全部资金按原路径退还到您支付时使用的账户中。（7-15个工作日内）
目前购票支持哪几种支付方式?	目前仅支持网银支付､支付宝､国美账户余额｡
我的账户已完成付款订单显示未支付?	可能是由于在线支付网关信息延迟,导致订单状态还未变更｡请稍后查看订单状态｡
如何查询订单记录?	可通过登录国美手机客户端或访问国美WAP网页 进入众筹频道,点击“我的众筹”进行订单查询｡
我可以同时支持很多项目吗？	支持者可以同时支持多个项目，且还可以支持同一项目中的多种回报方式。
这个商品有货物么？	建议您可以在商品页面价格下方的“送至”位置，选择您要送达的收货地址，会有显示是否有货哦~
无货的商品还会再到货不	具体到货时间不确定呢，建议您在商品页面点击到货通知哦~
可能永远都不会再有货吗?	这个具体的现在还说不准哦~可以填写到货通知的呢
还会再降价吗？	抱歉小E也不知道商品什么时候能降价。小E有个小妙招：您可以点击商品价格旁边的【降价通知】哦~
没人工服务吗	若您需要联系人工客服，可以联系客服MM哟
是国行的还是美行的	正品行货哦~
可以刷卡么	到付订单支持刷带银联标志的银行卡，极少地区可能不支持，提交订单前，结算页面有付款方式选择，具体的建议到时还请提前跟配送确认下哦。
